wid,icon_name,icon_type,icon_desc,icon_url,order_number,is_deleted,icon_item
"148","icon-richengxiangqingxuanzhong",0,"日程详情选中","icon-richengxiangqingxuanzhong",148,0,0
"150","icon-zonghe1",0,"综合","icon-zonghe1",150,0,0
"151","icon-zonghexuanzhong",0,"综合选中","icon-zonghexuanzhong",151,0,0
"152","icon-richengxuanzhong",0,"日程选中","icon-richengxuanzhong",152,0,0
"153","icon-gonggaoxuanzhong",0,"公告选中","icon-gonggaoxuanzhong",153,0,0
"154","icon-wodexiaoxi",0,"我的消息","icon-wodexiaoxi",154,0,0
"155","icon-xiaoxixuanzhong",0,"消息选中","icon-xiaoxixuanzhong",155,0,0
"156","icon-tongzhigonggao",0,"通知公告","icon-tongzhigonggao",156,0,0
"149","icon-yingyongliebiao",0,"应用列表","icon-yingyongliebiao",149,0,0
