wid,programme_name,platform_type,template_id,page_amount,page_status,logo_url,template_config,is_deleted,side_flag,initialize_flag
ee14716ab72148f4abb0ba99d441fe14,默认Work模板展示方案,0,aedca95225cf43f592dd465348fd7c73,11,1,,"",0,0,0
b5cb4b5c805045b4ac89779e8e7dd42c,默认Work模板移动端展示方案,1,aedca95225cf43f592dd465348fd7c73,7,1,,"",0,0,0
