wid,source_type,lang_key,lang_country,lang_value,is_deleted
3498f843998e3dc6a5b9e08f69c7099b,0,770944000000000000,zh_CN,我的大学,0
32cb21b5e4be2614de9b44bd58d675e8,0,770944991554961000,zh_CN,办事大厅,0
32fcb16ce44d83e282f2497e61f3b80c,0,770949696255426000,zh_CN,工作台,0
bd6a6e5d070cea7c0c725e91240bca5d,0,770950299429896000,zh_CN,搜索结果,0
14b67e3417e8e1bf0568dc0429cbe979,0,770950491432550000,zh_CN,全部服务,0
c8b6f4c97744604a15371428c9d44b64,0,770967541068595000,zh_CN,事项分类,0
38123d8eacb2b13503f3245629f712e2,0,770967694194245000,zh_CN,事项详情,0
6ab3cc0340ec89794124fa33e3967fc3,0,770951172574937088,zh_CN,我的大学,0
16c609a66c21a0ff0349de7aaf222335,0,770951359070470144,zh_CN,办事大厅,0
99be1392a4f934964bb0994533353626,0,770951555221291008,zh_CN,工作台,0
f0befaf9536e6adbf26b67ba89df33d2,0,770951747391717376,zh_CN,我的消息,0
154071e59196b96681c6744b7eb679e1,0,770952277639823360,zh_CN,智能问答,0
3498f843998e3dc6a5b9e08f69c7099a,0,770944000000000001,zh_CN,我的大学,0
32cb21b5e4be2614de9b44bd58d675e7,0,770944991554961001,zh_CN,办事大厅,0
32fcb16ce44d83e282f2497e61f3b80d,0,770949696255426001,zh_CN,工作台,0
bd6a6e5d070cea7c0c725e91240bca5e,0,770950299429896001,zh_CN,搜索结果,0
14b67e3417e8e1bf0568dc0429cbe978,0,770950491432550001,zh_CN,全部服务,0
c8b6f4c97744604a15371428c9d44b63,0,770967541068595001,zh_CN,事项分类,0
38123d8eacb2b13503f3245629f712e1,0,770967694194245001,zh_CN,事项详情,0
6ab3cc0340ec89794124fa33e3967fc2,0,770951172574937089,zh_CN,我的大学,0
16c609a66c21a0ff0349de7aaf222334,0,770951359070470145,zh_CN,办事大厅,0
99be1392a4f934964bb0994533353625,0,770951555221291009,zh_CN,工作台,0
f0befaf9536e6adbf26b67ba89df33d1,0,770951747391717377,zh_CN,我的消息,0
154071e59196b96681c6744b7eb679e2,0,770952277639823361,zh_CN,智能问答,0
